Open Time,Open,High,Low,Close,Volume,Taker Buy Base Volume,Taker Buy Quote Volume
2023-12-05,41991.1,44488.0,41414.0,44073.32,67490.74644,34815.80813,1491813847.2389681
2023-12-06,44073.82,44297.21,43335.28,43762.69,51431.10492,25092.62492,1101273363.0864296
2023-12-07,43762.69,44047.33,42821.1,43273.14,47103.26845,22635.67672,983629776.4938614
2023-12-08,43273.15,44700.0,43081.1,44170.99,42900.37556,20818.67861,910357262.894073
2023-12-09,44171.0,44358.02,43584.51,43713.6,24925.97008,11598.00774,510255993.8680859
2023-12-10,43713.59,44049.0,43563.0,43789.51,18956.61758,8841.90643,387376075.3824843
2023-12-11,43789.5,43804.5,40222.0,41253.4,76663.89804,36499.24269,1525642878.1521034
2023-12-12,41253.41,42104.12,40680.0,41492.39,42722.69773,21394.91158,888438328.8915346
2023-12-13,41492.38,43475.2,40555.0,42869.03,45865.99773,22354.97386,935785466.0225857
2023-12-14,42869.03,43420.0,41400.0,43022.26,42047.05709,20579.79343,880356342.3815118
2023-12-15,43022.26,43080.81,41666.0,41940.3,33421.7932,16321.13654,691713304.7485888
2023-12-16,41940.29,42724.43,41605.0,42278.03,24118.85747,12193.50511,515909440.9100929
2023-12-17,42278.02,42424.07,41252.0,41374.65,27722.11452,13245.86404,555309260.127941
2023-12-18,41374.64,42757.81,40542.93,42657.8,46734.0925,23255.79871,963775419.5731498
2023-12-19,42657.8,43497.0,41811.1,42275.99,40927.86444,20163.65946,861082883.3110158
2023-12-20,42275.99,44283.0,42206.0,43668.93,48710.2947,23912.13682,1038694005.7761399
2023-12-21,43668.92,44242.35,43286.72,43861.8,34624.29384,17058.89545,746266380.7692404
2023-12-22,43861.79,44398.26,43412.54,43969.04,32783.19638,16049.22275,703199211.0393196
2023-12-23,43969.04,43988.68,43291.1,43702.16,16557.1293,7765.30564,339046509.1677196
2023-12-24,43702.15,43946.0,42500.0,42991.5,25144.33496,11841.26614,514962029.1783347
2023-12-25,42991.5,43802.32,42720.43,43576.13,27021.23992,13691.2393,593900885.8031462
2023-12-26,43576.12,43592.68,41637.6,42508.93,41010.04282,21096.16634,898267435.237983
2023-12-27,42508.93,43677.0,42098.69,43428.85,36191.21136,18982.83267,815239612.617364
